project_name,domain,description,technologies,difficulty,dataset,learning_topics
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Intermediate,Public Dataset,Computer Vision
Patient Readmission Predictor,Data Science,Forecast hospital readmission within 30 days using structured EHR data and gradient boosting.,Python XGBoost Scikit-learn Pandas,Intermediate,Research Dataset,Classification
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Intermediate,Research Dataset,Natural Language Processing
Chess AI Engine,AI,Build a chess-playing AI using Monte Carlo Tree Search and a policy-value neural network.,Python PyTorch NumPy Chess,Advanced,Web-Scraped Dataset,Deep Learning
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Intermediate,Open Dataset,Computer Vision
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Beginner,Open Dataset,Natural Language Processing
News Article Recommender,NLP,Recommend news articles based on reading habits using SBERT semantic similarity and user embeddings.,Python Transformers FAISS Pandas,Intermediate,Synthetic Dataset,Recommendation Systems
Named Entity Recognition System,NLP,"Extract and classify entities (person, org, location) from text using SpaCy + custom training.",Python SpaCy Transformers Pandas,Advanced,Government Dataset,Natural Language Processing
Learning Path Recommender,Machine Learning,Recommend personalised online course sequences based on learner skill gaps and goals using collaborative filtering.,Python Scikit-learn Surprise Pandas,Intermediate,Government Dataset,Recommendation Systems
GAN-Based Face Generator,Computer Vision,Generate photorealistic human faces using a progressive GAN with latent-space interpolation.,Python PyTorch TensorFlow NumPy,Beginner,Kaggle Dataset,Deep Learning
Crop Disease Diagnosis App,Computer Vision,Identify crop diseases from leaf images in the field using a lightweight MobileNet model for edge deployment.,Python TensorFlow Lite OpenCV Pandas,Beginner,Government Dataset,Computer Vision
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Beginner,Research Dataset,Natural Language Processing
